,year,month,commercial,farm,begin_stocks,end_stocks,imports,exports,population
42,2010,3,38.7,1.05,22.972,18.046,30.528,3.134,310098.3
43,2010,4,42.4,1.1,18.046,15.206,42.492,3.347,310731.2
44,2011,1,36.2,1.15,15.206,12.874,49.007,3.775,311253.0
45,2011,2,39.9,1.15,12.874,18.097,47.769,6.154,311781.7
46,2011,3,35.8,1.15,18.097,22.218,31.221,4.309,312407.2
47,2011,4,36.8,1.15,22.218,16.857,34.054,4.577,313015.4
48,2012,1,38.6,1.15,16.857,21.846,38.398,3.432,313530.1
49,2012,2,38.9,1.2,21.846,22.46,36.319,1.828,314047.7
50,2012,3,39.2,1.15,22.46,23.453,38.37,2.601,314660.7
51,2012,4,39.6,1.15,23.453,21.379,40.597,2.777,315268.7
52,2013,1,37.7,1.25,21.379,17.624,49.199,2.293,315749.9
53,2013,2,40.6,1.3,17.624,19.307,44.0,2.053,316250.9
54,2013,3,39.7,1.25,19.307,23.444,36.277,1.194,316877.4
55,2013,4,37.9,1.25,23.444,24.508,43.651,1.699,317515.5
56,2014,1,37.2,1.3427,24.508,28.076,46.006,1.604,317837.8
57,2014,2,42.5,1.2627,28.076,31.119,48.969,1.935,318370.6
58,2014,3,37.9,1.2416,31.119,39.693,44.678,1.746,319009.8
59,2014,4,38.3,1.253,39.693,33.942,55.219,1.448,319651.5
60,2015,1,37.5,1.297,33.942,34.25,52.525,1.166,320156.8
61,2015,2,39.1,1.2464,34.25,35.47,55.76,1.146,320683.4
62,2015,3,36.9,1.2216,35.47,41.921,46.101,0.877,321315.3
63,2015,4,36.9,1.235,41.921,41.452,59.337,1.285,321947.2
64,2016,1,38.0,1.3182,41.452,41.0,68.174,1.157,322475.8
65,2016,2,39.2,1.3129,40.648,39.518,54.731,1.066,322998.8
66,2016,3,36.0,1.2819,39.518,32.736,40.866,1.354,323605.9
67,2016,4,37.0,1.287,32.736,26.14,52.149,1.843,324187.4
68,2017,1,37.2,1.3218,26.14,25.792,79.939,1.402,324647.5
69,2017,2,35.7,1.3154,25.792,26.177,57.79,1.224,325106.6
70,2017,3,35.2,1.2783,26.177,31.415,57.453,1.651,325666.8
71,2017,4,37.1,1.2844,31.415,26.714,56.534,1.627,326217.2
